timestamp,open,high,low,close,volume
2025-07-10 02:00:00+00:00,3.0891,3.112,3.0868,3.11,4305838.3
2025-07-10 02:15:00+00:00,3.11,3.1379,3.1022,3.1174,5207148.6
2025-07-10 02:30:00+00:00,3.1173,3.1268,3.108,3.1107,2438363.0
2025-07-10 02:45:00+00:00,3.1108,3.1328,3.1093,3.1327,1418807.0
2025-07-10 03:00:00+00:00,3.1327,3.1372,3.1125,3.1129,1723393.3
2025-07-10 03:15:00+00:00,3.1129,3.1257,3.1089,3.1106,1618708.8
2025-07-10 03:30:00+00:00,3.1106,3.1125,3.0987,3.1008,2263824.6
2025-07-10 03:45:00+00:00,3.1008,3.1041,3.0972,3.1033,942108.8
2025-07-10 04:00:00+00:00,3.1033,3.1046,3.0938,3.0972,1258258.6
2025-07-10 04:15:00+00:00,3.0971,3.1198,3.0948,3.1179,2459605.8
2025-07-10 04:30:00+00:00,3.1178,3.1324,3.1178,3.1319,2961965.1
2025-07-10 04:45:00+00:00,3.1319,3.1619,3.1319,3.1542,6443653.9
2025-07-10 05:00:00+00:00,3.1543,3.1878,3.1465,3.1655,4852588.4
2025-07-10 05:15:00+00:00,3.1655,3.1688,3.1559,3.1674,3347576.4
2025-07-10 05:30:00+00:00,3.1675,3.1686,3.1479,3.1485,1971859.0
2025-07-10 05:45:00+00:00,3.1485,3.1564,3.1464,3.1482,1809176.6
2025-07-10 06:00:00+00:00,3.1483,3.1562,3.1404,3.1524,2346460.0
2025-07-10 06:15:00+00:00,3.1525,3.1683,3.1525,3.1639,1983111.1
2025-07-10 06:30:00+00:00,3.1639,3.1686,3.1558,3.168,1710790.2
2025-07-10 06:45:00+00:00,3.1679,3.2034,3.1665,3.199,5322049.6
2025-07-10 07:00:00+00:00,3.1989,3.2383,3.1954,3.2226,7835728.1
2025-07-10 07:15:00+00:00,3.2227,3.2434,3.2212,3.2315,5238430.1
2025-07-10 07:30:00+00:00,3.2314,3.237,3.2164,3.2254,3869397.9
2025-07-10 07:45:00+00:00,3.2254,3.2254,3.2076,3.2113,3156256.3
2025-07-10 08:00:00+00:00,3.2113,3.2176,3.1966,3.2005,3373561.0
2025-07-10 08:15:00+00:00,3.2005,3.2225,3.2005,3.2224,2368645.8
2025-07-10 08:30:00+00:00,3.2225,3.2396,3.2148,3.2394,3506394.7
2025-07-10 08:45:00+00:00,3.2393,3.2518,3.2316,3.2356,3280253.2
2025-07-10 09:00:00+00:00,3.2356,3.2441,3.2279,3.2427,3550825.5
2025-07-10 09:15:00+00:00,3.2427,3.2516,3.23,3.2344,2760324.2
2025-07-10 09:30:00+00:00,3.2344,3.239,3.2262,3.2285,1813621.8
2025-07-10 09:45:00+00:00,3.2285,3.2341,3.209,3.2279,4102411.9
2025-07-10 10:00:00+00:00,3.2278,3.2292,3.2083,3.2104,2380029.8
2025-07-10 10:15:00+00:00,3.2103,3.228,3.2102,3.2191,3638283.2
2025-07-10 10:30:00+00:00,3.2192,3.2384,3.2187,3.2348,2029084.7
2025-07-10 10:45:00+00:00,3.2348,3.2471,3.2294,3.235,2123457.3
2025-07-10 11:00:00+00:00,3.235,3.2384,3.2255,3.2292,1487871.5
2025-07-10 11:15:00+00:00,3.2292,3.2379,3.2259,3.2301,1154784.2
2025-07-10 11:30:00+00:00,3.2302,3.231,3.22,3.2214,1336271.2
2025-07-10 11:45:00+00:00,3.2217,3.2293,3.2147,3.229,3008549.0
2025-07-10 12:00:00+00:00,3.229,3.2309,3.2162,3.2172,2126768.9
2025-07-10 12:15:00+00:00,3.2171,3.2286,3.2071,3.2249,2809945.8
2025-07-10 12:30:00+00:00,3.225,3.2361,3.2196,3.2281,2728579.2
2025-07-10 12:45:00+00:00,3.2282,3.2562,3.2257,3.2519,4416918.8
2025-07-10 13:00:00+00:00,3.2519,3.272,3.2448,3.2699,7422543.1
2025-07-10 13:15:00+00:00,3.27,3.2748,3.2505,3.2536,4145042.6
2025-07-10 13:30:00+00:00,3.2537,3.2574,3.2303,3.2454,5463026.6
2025-07-10 13:45:00+00:00,3.2455,3.256,3.2261,3.2341,4436676.4
2025-07-10 14:00:00+00:00,3.2341,3.2358,3.2113,3.2275,5097486.6
2025-07-10 14:15:00+00:00,3.2274,3.2368,3.2061,3.2155,4264293.0
2025-07-10 14:30:00+00:00,3.2156,3.229,3.2151,3.223,2642267.4
