timestamp,open,high,low,close,volume
2025-07-10 02:00:00+00:00,157.53,159.0,157.53,158.54,546910.67
2025-07-10 02:15:00+00:00,158.55,159.33,158.38,158.44,275976.91
2025-07-10 02:30:00+00:00,158.44,158.84,158.02,158.05,157029.21
2025-07-10 02:45:00+00:00,158.05,158.38,158.03,158.22,111105.49
2025-07-10 03:00:00+00:00,158.23,158.3,157.73,157.75,126213.98
2025-07-10 03:15:00+00:00,157.74,158.08,157.56,157.62,132037.54
2025-07-10 03:30:00+00:00,157.63,157.72,157.18,157.37,156139.42
2025-07-10 03:45:00+00:00,157.38,157.45,157.13,157.28,96946.82
2025-07-10 04:00:00+00:00,157.28,157.42,156.82,156.94,142331.84
2025-07-10 04:15:00+00:00,156.94,157.27,156.8,157.23,112461.16
2025-07-10 04:30:00+00:00,157.22,157.57,157.22,157.47,139609.59
2025-07-10 04:45:00+00:00,157.47,157.61,157.36,157.59,101210.44
2025-07-10 05:00:00+00:00,157.6,157.7,157.21,157.21,97241.74
2025-07-10 05:15:00+00:00,157.2,157.41,157.07,157.3,53789.52
2025-07-10 05:30:00+00:00,157.31,157.32,156.91,156.97,67915.77
2025-07-10 05:45:00+00:00,156.98,157.35,156.84,157.15,99461.93
2025-07-10 06:00:00+00:00,157.15,157.35,156.58,156.77,136220.86
2025-07-10 06:15:00+00:00,156.76,157.24,156.71,157.17,90303.56
2025-07-10 06:30:00+00:00,157.18,157.27,156.86,156.9,89451.33
2025-07-10 06:45:00+00:00,156.9,157.42,156.88,157.34,112678.31
2025-07-10 07:00:00+00:00,157.34,158.33,157.27,158.17,369297.18
2025-07-10 07:15:00+00:00,158.17,158.54,157.95,158.22,211379.85
2025-07-10 07:30:00+00:00,158.22,158.58,157.86,158.25,192268.46
2025-07-10 07:45:00+00:00,158.24,158.27,157.71,157.82,153515.87
2025-07-10 08:00:00+00:00,157.82,158.43,157.72,158.21,142831.88
2025-07-10 08:15:00+00:00,158.21,158.87,158.19,158.43,222463.45
